Date,Value
2016-01-01,2.8175135705585808
2016-01-02,2.7583893389437213
2016-01-03,2.6789832777618523
2016-01-04,2.9350176969339965
2016-01-05,3.019494695011764
2016-01-06,3.0516716495271825
2016-01-07,3.03888414846842
2016-01-08,2.977485366401265
2016-01-09,2.8793163636220434
2016-01-10,2.766189074437209
2016-01-11,2.9923093354904604
2016-01-12,3.0284984131764072
2016-01-13,3.0193496503055215
2016-01-14,3.0467344591087793
2016-01-15,3.027168840894308
2016-01-16,2.8879755471128155
2016-01-17,2.7574646054483307
2016-01-18,3.013717855408282
2016-01-19,3.0576486885065153
2016-01-20,3.0011003977184174
2016-01-21,2.9811983235663484
2016-01-22,2.9806835794121014
2016-01-23,2.879890881437077
2016-01-24,2.800403653140404
2016-01-25,3.0679896575746644
2016-01-26,3.086390155093629
2016-01-27,3.0638434333498807
2016-01-28,3.0906451697797155
2016-01-29,3.1052111414657264
2016-01-30,2.942378783404601
2016-01-31,2.783946576500369
2016-02-01,3.0378080563539074
2016-02-02,3.0580537976087796
2016-02-03,3.0316859264422304
2016-02-04,2.987026081893762
2016-02-05,2.9420926439877304
2016-02-06,2.7633896287960815
2016-02-07,2.539679937250431
2016-02-08,2.773311833083025
2016-02-09,2.851663801009988
2016-02-10,2.9015414772739527
2016-02-11,2.8837145841924685
2016-02-12,2.873984749769047
2016-02-13,2.8313635373169252
2016-02-14,2.6967303876007276
2016-02-15,2.9268506507751337
2016-02-16,2.9563519844412296
2016-02-17,2.9819746999136236
2016-02-18,3.001388403368697
2016-02-19,2.9911897182433993
2016-02-20,2.9315214961682003
2016-02-21,2.7751832498993925
2016-02-22,2.9777910959979876
2016-02-23,3.0235867060050006
2016-02-24,3.0751071880886633
2016-02-25,3.0714958728691824
2016-02-26,2.9189919609414186
2016-02-27,2.740990373070927
2016-02-28,2.656133950867147
2016-02-29,2.957754201885446
2016-03-01,2.9766964170822106
2016-03-02,2.9530776316006726
2016-03-03,2.999258192210426
2016-03-04,3.012510493118372
2016-03-05,2.911929379383165
2016-03-06,2.75857962250505
2016-03-07,2.962279478247133
2016-03-08,2.9576127652558535
2016-03-09,2.9524308550026404
2016-03-10,2.9993214261470045
2016-03-11,3.040225401537785
2016-03-12,2.97293815462507
2016-03-13,2.8006969116089193
2016-03-14,3.016465724372433
2016-03-15,3.0847121472295878
2016-03-16,3.109639156411866
2016-03-17,3.093560397529835
2016-03-18,3.054000635232743
2016-03-19,2.969528882390303
2016-03-20,2.818378129153229
2016-03-21,3.070503289037353
2016-03-22,3.1539848696087858
2016-03-23,3.095546677380901
2016-03-24,2.975290427257827
2016-03-25,2.89453393000111
2016-03-26,2.831236716699225
2016-03-27,2.7222077463843055
2016-03-28,2.9529389069492917
2016-03-29,3.028455069832224
2016-03-30,3.035024700729637
2016-03-31,3.004757582937224
2016-04-01,2.965553046284775
2016-04-02,2.864061340149382
2016-04-03,2.775572335652107
2016-04-04,3.0378427681942517
2016-04-05,3.097753725340476
2016-04-06,3.1042934679801526
2016-04-07,3.0763382480323034
2016-04-08,3.0879797530466973
2016-04-09,2.992960494800321
2016-04-10,2.8621896078605578
2016-04-11,3.1037589715545373
2016-04-12,3.138854461978581
2016-04-13,3.145285823653382
2016-04-14,3.0559106541038745
2016-04-15,3.0221479862791547
2016-04-16,2.9522834730124976
2016-04-17,2.842691164744289
2016-04-18,3.119388535376735
2016-04-19,3.1152185211172565
2016-04-20,3.104382819189329
2016-04-21,3.085951299945374
2016-04-22,3.0919169860998252
2016-04-23,2.9627507303128926
2016-04-24,2.7429174634419047
2016-04-25,3.0725050582970783
2016-04-26,3.1705007352752723
2016-04-27,3.138581505582833
2016-04-28,3.0838004926332783
2016-04-29,3.0938291785336394
2016-04-30,3.0010883944364
2016-05-01,2.7564418040368395
2016-05-02,3.020509213433385
2016-05-03,3.093706904265059
2016-05-04,3.0353281304366444
2016-05-05,2.9210579952750066
2016-05-06,2.8697649476920324
2016-05-07,2.84817765398792
2016-05-08,2.7752281989616727
2016-05-09,3.096699285502959
2016-05-10,3.1192139932792387
2016-05-11,3.073898634275517
2016-05-12,3.056672454433965
2016-05-13,3.0743679314274
2016-05-14,3.0300526520197026
2016-05-15,2.862487954092197
2016-05-16,3.1015126697376183
2016-05-17,3.1258227656894464
2016-05-18,3.1854334695606683
2016-05-19,3.2498092918240054
2016-05-20,3.2154465972941013
2016-05-21,3.068057418079514
2016-05-22,2.8289157745658207
2016-05-23,3.080492830948393
2016-05-24,3.0887648213073984
2016-05-25,3.06266997216886
2016-05-26,3.1278783328363144
2016-05-27,3.1488172559627055
2016-05-28,3.0474602953328422
2016-05-29,2.8006426780576805
2016-05-30,3.045478455239515
2016-05-31,3.077847756327638
2016-06-01,3.0108342721188586
2016-06-02,3.070121791281858
2016-06-03,3.116528952407649
2016-06-04,3.069662988846125
2016-06-05,2.9155940050076605
2016-06-06,3.182847069475466
